cell_id,backend,depth,proof_id,proof_j,leaf_index,verify_credential_gas,verify_credential_exec,verify_credential_intrinsic,verify_credential_calldata_bytes,verify_credential_calldata_zero_bytes,verify_proof_direct_gas,verify_proof_direct_exec,verify_proof_direct_intrinsic,verify_proof_direct_calldata_bytes,verify_proof_direct_calldata_zero_bytes,manager_overhead_gas,manager_overhead_exec
primary-groth16-d15,groth16,15,G16-d15-p6,6,26624,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-groth16-d15,groth16,15,G16-d15-p7,7,30720,223958,198298,25660,292,1,214597,188937,25660,292,1,9361,9361
primary-plonk-d5,plonk,5,PLK-d5-p0,0,2,300167,266351,33816,804,4,291168,257352,33816,804,4,8999,8999
primary-plonk-d5,plonk,5,PLK-d5-p1,1,6,300779,266975,33804,804,5,291780,257976,33804,804,5,8999,8999
primary-plonk-d5,plonk,5,PLK-d5-p2,2,10,300583,266767,33816,804,4,291584,257768,33816,804,4,8999,8999
primary-plonk-d5,plonk,5,PLK-d5-p3,3,14,299641,265825,33816,804,4,290642,256826,33816,804,4,8999,8999
primary-plonk-d5,plonk,5,PLK-d5-p4,4,18,299397,265617,33780,804,7,290398,256618,33780,804,7,8999,8999
primary-plonk-d5,plonk,5,PLK-d5-p5,5,22,301023,267183,33840,804,2,292024,258184,33840,804,2,8999,8999
primary-plonk-d5,plonk,5,PLK-d5-p6,6,26,299971,266143,33828,804,3,290972,257144,33828,804,3,8999,8999
primary-plonk-d5,plonk,5,PLK-d5-p7,7,30,300057,266241,33816,804,4,291058,257242,33816,804,4,8999,8999
primary-plonk-d10,plonk,10,PLK-d10-p0,0,64,300791,266975,33816,804,4,291792,257976,33816,804,4,8999,8999
primary-plonk-d10,plonk,10,PLK-d10-p1,1,192,298613,264785,33828,804,3,289614,255786,33828,804,3,8999,8999
primary-plonk-d10,plonk,10,PLK-d10-p2,2,320,299359,265519,33840,804,2,290360,256520,33840,804,2,8999,8999
primary-plonk-d10,plonk,10,PLK-d10-p3,3,448,299763,265935,33828,804,3,290764,256936,33828,804,3,8999,8999
primary-plonk-d10,plonk,10,PLK-d10-p4,4,576,300901,267073,33828,804,3,291902,258074,33828,804,3,8999,8999
primary-plonk-d10,plonk,10,PLK-d10-p5,5,704,299885,266033,33852,804,1,290886,257034,33852,804,1,8999,8999
primary-plonk-d10,plonk,10,PLK-d10-p6,6,832,302063,268223,33840,804,2,293064,259224,33840,804,2,8999,8999
primary-plonk-d10,plonk,10,PLK-d10-p7,7,960,300387,266559,33828,804,3,291388,257560,33828,804,3,8999,8999
primary-plonk-d11,plonk,11,PLK-d11-p0,0,128,300026,266198,33828,804,3,291027,257199,33828,804,3,8999,8999
primary-plonk-d11,plonk,11,PLK-d11-p1,1,384,299880,266088,33792,804,6,290881,257089,33792,804,6,8999,8999
primary-plonk-d11,plonk,11,PLK-d11-p2,2,640,300650,266822,33828,804,3,291651,257823,33828,804,3,8999,8999
primary-plonk-d11,plonk,11,PLK-d11-p3,3,896,298644,264840,33804,804,5,289645,255841,33804,804,5,8999,8999
primary-plonk-d11,plonk,11,PLK-d11-p4,4,1152,299476,265672,33804,804,5,290477,256673,33804,804,5,8999,8999
primary-plonk-d11,plonk,11,PLK-d11-p5,5,1408,300516,266712,33804,804,5,291517,257713,33804,804,5,8999,8999
primary-plonk-d11,plonk,11,PLK-d11-p6,6,1664,298766,264950,33816,804,4,289767,255951,33816,804,4,8999,8999
primary-plonk-d11,plonk,11,PLK-d11-p7,7,1920,299598,265782,33816,804,4,290599,256783,33816,804,4,8999,8999
primary-plonk-d15,plonk,15,PLK-d15-p0,0,2048,299476,265672,33804,804,5,290477,256673,33804,804,5,8999,8999
primary-plonk-d15,plonk,15,PLK-d15-p1,1,6144,299818,265990,33828,804,3,290819,256991,33828,804,3,8999,8999
primary-plonk-d15,plonk,15,PLK-d15-p2,2,10240,299732,265880,33852,804,1,290733,256881,33852,804,1,8999,8999
primary-plonk-d15,plonk,15,PLK-d15-p3,3,14336,300870,267030,33840,804,2,291871,258031,33840,804,2,8999,8999
primary-plonk-d15,plonk,15,PLK-d15-p4,4,18432,300234,266406,33828,804,3,291235,257407,33828,804,3,8999,8999
primary-plonk-d15,plonk,15,PLK-d15-p5,5,22528,299904,266088,33816,804,4,290905,257089,33816,804,4,8999,8999
primary-plonk-d15,plonk,15,PLK-d15-p6,6,26624,300540,266712,33828,804,3,291541,257713,33828,804,3,8999,8999
primary-plonk-d15,plonk,15,PLK-d15-p7,7,30720,300650,266822,33828,804,3,291651,257823,33828,804,3,8999,8999
bridge-groth16-d11,groth16,11,G16-d11-p0,0,128,239229,213581,25648,292,2,214794,189146,25648,292,2,24435,24435
bridge-groth16-d11,groth16,11,G16-d11-p1,1,384,239241,213581,25660,292,1,214806,189146,25660,292,1,24435,24435
bridge-groth16-d11,groth16,11,G16-d11-p2,2,640,239241,213581,25660,292,1,214806,189146,25660,292,1,24435,24435
bridge-groth16-d11,groth16,11,G16-d11-p3,3,896,239229,213581,25648,292,2,214794,189146,25648,292,2,24435,24435
bridge-groth16-d11,groth16,11,G16-d11-p4,4,1152,239217,213581,25636,292,3,214782,189146,25636,292,3,24435,24435
bridge-groth16-d11,groth16,11,G16-d11-p5,5,1408,239217,213581,25636,292,3,214782,189146,25636,292,3,24435,24435
bridge-groth16-d11,groth16,11,G16-d11-p6,6,1664,239217,213581,25636,292,3,214782,189146,25636,292,3,24435,24435
bridge-groth16-d11,groth16,11,G16-d11-p7,7,1920,239241,213581,25660,292,1,214806,189146,25660,292,1,24435,24435
