cell_id,profile,backend,depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,contract_name,gas_limit,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,gas_used,calldata_bytes,calldata_zero_bytes,calldata_tokens,calldata_gas_standard,floor_gas_7623,create_gas,intrinsic_gas,exec_gas_derived,floor_binding,code_deposit_gas,initcode_bytes,runtime_bytes,runtime_keccak,runtime_matches_artifact,calldata_sha256
primary-groth16-d10,primary,groth16,10,8,verify_credential,tx,G16-d10-p2,2,320,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,05488c1efe57727918a2f30464f34ab7190a523470bb1e28b2cbf273b7bc9ff0
primary-groth16-d10,primary,groth16,10,9,verify_credential,tx,G16-d10-p3,3,448,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,00e8073ce3e12ba5e382dcec248de28e00464a544418fc70d94f21d469d9db71
primary-groth16-d10,primary,groth16,10,10,verify_credential,tx,G16-d10-p4,4,576,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223970,292,0,1168,4672,32680,0,25672,198298,0,,,,,,59543a919d53a5ad666c27785dd7c3076027cf96c68a969a47deb6c7f925dcd0
primary-groth16-d10,primary,groth16,10,11,verify_credential,tx,G16-d10-p5,5,704,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223946,292,2,1162,4648,32620,0,25648,198298,0,,,,,,b6543fce59c9a7c85ee23e7af8353b303b0e0abdce519dbbcab282ac17abc282
primary-groth16-d10,primary,groth16,10,12,verify_credential,tx,G16-d10-p6,6,832,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223958,292,1,1165,4660,32650,0,25660,198298,0,,,,,,2dc740127d37e159c41eafc740c0789c3d3d9be27792a70e1c60d87ed0068c67
primary-groth16-d10,primary,groth16,10,13,verify_credential,tx,G16-d10-p7,7,960,A0,CredentialManagerGroth16,1000000,1,1,,,,,1,223970,292,0,1168,4672,32680,0,25672,198298,0,,,,,,4f9484fa4a26cde8d96adb5abaa73df628e6e1daf4e6a0483f68c5bd0fb236ac
primary-groth16-d10,primary,groth16,10,14,verify_proof_call,call,G16-d10-p0,0,64,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,292,3,1159,,,,,,,,,,,,00d891db3117c020bf1d8ac8aacda4825f46fbd4c9b717316cfac8afe0a258f1
primary-groth16-d10,primary,groth16,10,15,verify_proof_call,call,G16-d10-p1,1,192,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,1645716acb461e34dc46552d7fcf1ce299195a2fb7a62c0f326075b320757911
primary-groth16-d10,primary,groth16,10,16,verify_proof_call,call,G16-d10-p2,2,320,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,e00ac1cfc3d9e1435a403ff835d63c223b00433689af0910e239c682d3a7c8f8
primary-groth16-d10,primary,groth16,10,17,verify_proof_call,call,G16-d10-p3,3,448,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,292,1,1165,,,,,,,,,,,,e7a5fd90f11e6ab2780a4dabf33001319f7a90c8d20183a4917b7eefcdbb1748
primary-groth16-d10,primary,groth16,10,18,verify_proof_call,call,G16-d10-p4,4,576,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,292,0,1168,,,,,,,,,,,,ace199a0b5c2c1cefa420c81e73edf52324e609d35cd66d6a65d4f9f79ba1fad
