campaign_id,arm,run_id,plan,env,node_version,protocol_version,chain_id,profile,cell_id,backend,depth,partner_depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,to_contract,contract_name,contract_address,nonce,tx_type,gas_limit,gas_per_pubdata_limit,max_fee_per_gas_wei,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,computational_gas,pubdata_bytes,pubdata_gas,gas_per_pubdata,gas_used,gas_used_derived,fee_trace_gas_limit,accounting_ok,calldata_bytes,calldata_sha256,raw_tx_bytes,factory_deps,bytecode_bytes,bytecode_hash,bytecode_matches_artifact,tx_hash,block_number,l1_batch_number,block_timestamp,effective_gas_price_wei,fee_semantics
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,8,verify_proof_call,call,G16-d11-p0,0,128,A0,verifier,Groth16LegacyVerifierDepth11,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,,,,,call,call,,,true,true,1,,,,,,,,,292,5bc6f0de4752c6450808a69e77e384f62a63422d6390520d86938db713353393,,,,,,,,,,,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,9,verify_proof_call,call,G16-d11-p1,1,384,A0,verifier,Groth16LegacyVerifierDepth11,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,,,,,call,call,,,true,true,1,,,,,,,,,292,efa885aac2e9479c43fe12f6847995b17d8af96513378cc2c1d26e9d055da7b6,,,,,,,,,,,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,10,verify_proof_direct,tx,G16-d11-p0,0,128,A0,verifier,Groth16LegacyVerifierDepth11,0x588758d8a0Ad1162A6294f3C274753137E664aE0,6,113,10000000,50000,45250000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,10000000,1,292,5bc6f0de4752c6450808a69e77e384f62a63422d6390520d86938db713353393,437,0,,,,0x34c6f617a9c1fa4325fbd6d750ce06051fb85e5fabf4ad3ae36bc6307890c124,13,7,1013,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,11,verify_proof_direct,tx,G16-d11-p1,1,384,A0,verifier,Groth16LegacyVerifierDepth11,0x588758d8a0Ad1162A6294f3C274753137E664aE0,7,113,10000000,50000,45250000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,10000000,1,292,efa885aac2e9479c43fe12f6847995b17d8af96513378cc2c1d26e9d055da7b6,437,0,,,,0x450324ddbce45ddeb5a8798da05a30003e3cd7dd30471d1e86b7321bb553e135,15,8,1015,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,12,neg_unknown_root,tx,G16-d15-p0,0,2048,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,8,113,10000000,50000,45250000,0,0,Invalid root,Invalid root,,,1,118680,18,1512,84,120185,120185,10000000,1,292,1ce3baf053b44ac9c96d03a3ffb948677aa627e3073963fb9a5209d034620599,437,0,,,,0x129a9291f19d84e58d315d12e0cb7bc757c6d76286c51424b329acae1945666f,17,9,1017,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,13,neg_tampered_call,call,G16-d11-p0,0,128,A0,verifier,Groth16LegacyVerifierDepth11,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,,,,,call,call,,,false,false,1,,,,,,,,,292,978167ce868bdde21a4e446ff192d661cfbe5e9a94cf2ab3bb651c1803218a1e,,,,,,,,,,,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,14,neg_tampered,tx,G16-d11-p0,0,128,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,9,113,10000000,50000,45250000,0,0,Invalid proof,Invalid proof,,,1,451051,18,1512,84,452556,452556,10000000,1,292,4600ea442b9dade6481bb2b6be2cf2ffc3335fa332050a02a4626b27822cfb63,437,0,,,,0x2858f2b9712f4c086e9d518e0bc0dde6654e88b4f75d5122bf24a3b115590cbb,19,10,1019,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,15,neg_cross_depth_setup,tx,G16-d15-p0,0,2048,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,10,113,2000000,50000,45250000,1,1,,,,,1,124797,51,4284,84,129062,129062,2000000,1,36,f2931f0aaf26f5d51c33dadce13833370940a08948160921859c7fe776ca5aa8,178,0,,,,0x540e879191aa3e4da09a51fb1b21fd0517a7e834e16cddf07009fc4a7940c45f,21,11,1021,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,16,neg_cross_depth_call,call,G16-d15-p0,0,2048,A0,verifier,Groth16LegacyVerifierDepth11,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,,,,,call,call,,,false,false,1,,,,,,,,,292,c1fa14b5797405497200d6957b5158faa30002873d39b43b4fd1ea982ca39ae2,,,,,,,,,,,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,17,neg_cross_depth,tx,G16-d15-p0,0,2048,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,11,113,10000000,50000,45250000,0,0,Invalid proof,Invalid proof,,,1,451089,18,1512,84,452594,452594,10000000,1,292,1ce3baf053b44ac9c96d03a3ffb948677aa627e3073963fb9a5209d034620599,437,0,,,,0x4e9dafcab7d84e37a47f6055fe9a0f7662a94bb1c649d51b91a571a89f80024b,23,12,1023,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,18,neg_non_issuer,tx,G16-d11-p0,0,128,A1,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0,113,2000000,50000,45250000,0,0,CredentialManager: not issuer,CredentialManager: not issuer,,,1,118599,45,3780,84,122362,122362,2000000,1,36,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758,178,0,,,,0x44d6fc082a24a2cd727a9ef21f1ad5a955ddae827db24bb156b6b7ea5c8ac54e,25,13,1025,45250000,local_fixed_fee_input_derived
