cell_id,backend,depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,contract_name,gas_limit,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,computational_gas,pubdata_bytes,pubdata_gas,gas_per_pubdata,gas_used,gas_used_derived,calldata_bytes,raw_tx_bytes,factory_deps,bytecode_bytes,bytecode_hash,bytecode_matches_artifact,calldata_sha256
primary-groth16-d5,groth16,5,24,verify_proof_direct,tx,G16-d5-p2,2,10,A0,Groth16LegacyVerifierDepth5,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,0d2d7d3aa3af7b66c607f41e3d721b8b42df5a3c86cee0d579ed2b26d5fed439
primary-groth16-d5,groth16,5,25,verify_proof_direct,tx,G16-d5-p3,3,14,A0,Groth16LegacyVerifierDepth5,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,0d788cabedc8faadf7f6192d7b7e3442591799b8d0f61f669d8e7044ff55b0d9
primary-groth16-d5,groth16,5,26,verify_proof_direct,tx,G16-d5-p4,4,18,A0,Groth16LegacyVerifierDepth5,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,8591dd32989bc600ebb0687f8686fdfb4796e90641751cf75de255ad63d285cb
primary-groth16-d5,groth16,5,27,verify_proof_direct,tx,G16-d5-p5,5,22,A0,Groth16LegacyVerifierDepth5,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,dde6e93a83ef8d8c28aaca9695ecffbc6f440d9d59cb4af669fcab2919339b70
primary-groth16-d5,groth16,5,28,verify_proof_direct,tx,G16-d5-p6,6,26,A0,Groth16LegacyVerifierDepth5,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,134926e4c635b7604bf798d424277df349d6073939e82a9a7aef5eb94f449937
primary-groth16-d5,groth16,5,29,verify_proof_direct,tx,G16-d5-p7,7,30,A0,Groth16LegacyVerifierDepth5,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,024d66f792d9241cd6ae6f266bc9afd2d46efc8121690d56662f47852300733d
primary-groth16-d5,groth16,5,30,neg_unknown_root,tx,G16-d10-p0,0,64,A0,CredentialManagerGroth16,10000000,0,0,Invalid root,Invalid root,,,1,118680,18,1512,84,120185,120185,292,437,0,,,,9730c9450f195fc730e64f4d7205cbf45b26ff9f17580d9d401e13400ba0e3aa
primary-groth16-d5,groth16,5,31,neg_tampered_call,call,G16-d5-p0,0,2,A0,Groth16LegacyVerifierDepth5,,call,call,,,false,false,1,,,,,,,292,,,,,,5169eaca91f388b9c453d6920bfc9ce86df4f28ac6f0c930b136dab1d05064cc
primary-groth16-d5,groth16,5,32,neg_tampered,tx,G16-d5-p0,0,2,A0,CredentialManagerGroth16,10000000,0,0,Invalid proof,Invalid proof,,,1,451051,18,1512,84,452556,452556,292,437,0,,,,3706b086d0a5ec6b62119ecca236a168e121207ecd0d35c0be12cc6ee34c92c1
primary-groth16-d5,groth16,5,33,neg_cross_depth_setup,tx,G16-d10-p0,0,64,A0,CredentialManagerGroth16,2000000,1,1,,,,,1,124797,51,4284,84,129062,129062,36,178,0,,,,c70e0fc0dcce1b144b1b3352307a21f93a93f2fce4e70bc9dec9627a6e721205
primary-groth16-d5,groth16,5,34,neg_cross_depth_call,call,G16-d10-p0,0,64,A0,Groth16LegacyVerifierDepth5,,call,call,,,false,false,1,,,,,,,292,,,,,,00d891db3117c020bf1d8ac8aacda4825f46fbd4c9b717316cfac8afe0a258f1
primary-groth16-d5,groth16,5,35,neg_cross_depth,tx,G16-d10-p0,0,64,A0,CredentialManagerGroth16,10000000,0,0,Invalid proof,Invalid proof,,,1,451089,18,1512,84,452594,452594,292,437,0,,,,9730c9450f195fc730e64f4d7205cbf45b26ff9f17580d9d401e13400ba0e3aa
primary-groth16-d5,groth16,5,36,neg_non_issuer,tx,G16-d5-p0,0,2,A1,CredentialManagerGroth16,2000000,0,0,CredentialManager: not issuer,CredentialManager: not issuer,,,1,118599,45,3780,84,122362,122362,36,178,0,,,,b91c4cff980f8874fb8d0fca3dd2b3046defc125bb26b20f9f41f40dec3d44ad
primary-groth16-d10,groth16,10,1,deploy_verifier,tx,,,,A0,Groth16LegacyVerifierDepth10,20000000,1,1,,,,,1,487466,3371,283164,84,769405,769405,132,3322,1,3040,0x0100005f6d9e45181edea5c8b96077efc04e7b3bac094201038cf8e0b4224cdb,1,3b3dac06591597fdd39a9c30923de12758f61522995c1f12284830d6ad5c37f6
primary-groth16-d10,groth16,10,2,deploy_manager,tx,,,,A0,CredentialManagerGroth16,20000000,1,1,,,,,1,730737,5389,452676,84,1181454,1181454,164,7066,1,6752,0x010000d37155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,1,a7a9ebb5b6128cae73685632e104199605917f6da6298e585bd96b4abfb483a3
primary-groth16-d10,groth16,10,3,set_issuer,tx,,,,A0,CredentialManagerGroth16,2000000,1,1,,,,,1,124477,51,4284,84,128742,128742,68,211,0,,,,727fd06686258f939093f54b4f3c375b0f3052da4ba7867e73d6f93a90702a06
primary-groth16-d10,groth16,10,4,add_root,tx,,,,A0,CredentialManagerGroth16,2000000,1,1,,,,,1,124797,51,4284,84,129062,129062,36,178,0,,,,c70e0fc0dcce1b144b1b3352307a21f93a93f2fce4e70bc9dec9627a6e721205
primary-groth16-d10,groth16,10,5,precheck_call,call,G16-d10-p0,0,64,A0,CredentialManagerGroth16,,call,call,,,true,true,1,,,,,,,292,,,,,,9730c9450f195fc730e64f4d7205cbf45b26ff9f17580d9d401e13400ba0e3aa
primary-groth16-d10,groth16,10,6,verify_credential,tx,G16-d10-p0,0,64,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,9730c9450f195fc730e64f4d7205cbf45b26ff9f17580d9d401e13400ba0e3aa
primary-groth16-d10,groth16,10,7,verify_credential,tx,G16-d10-p1,1,192,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,ce971fb7c04ab6242abe8dc45051c213fc5eb3f431718bc559102945e2f5ac7f
primary-groth16-d10,groth16,10,8,verify_credential,tx,G16-d10-p2,2,320,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,05488c1efe57727918a2f30464f34ab7190a523470bb1e28b2cbf273b7bc9ff0
primary-groth16-d10,groth16,10,9,verify_credential,tx,G16-d10-p3,3,448,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,00e8073ce3e12ba5e382dcec248de28e00464a544418fc70d94f21d469d9db71
primary-groth16-d10,groth16,10,10,verify_credential,tx,G16-d10-p4,4,576,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,59543a919d53a5ad666c27785dd7c3076027cf96c68a969a47deb6c7f925dcd0
primary-groth16-d10,groth16,10,11,verify_credential,tx,G16-d10-p5,5,704,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,b6543fce59c9a7c85ee23e7af8353b303b0e0abdce519dbbcab282ac17abc282
primary-groth16-d10,groth16,10,12,verify_credential,tx,G16-d10-p6,6,832,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,2dc740127d37e159c41eafc740c0789c3d3d9be27792a70e1c60d87ed0068c67
primary-groth16-d10,groth16,10,13,verify_credential,tx,G16-d10-p7,7,960,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,4f9484fa4a26cde8d96adb5abaa73df628e6e1daf4e6a0483f68c5bd0fb236ac
primary-groth16-d10,groth16,10,14,verify_proof_call,call,G16-d10-p0,0,64,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,,,,,,292,,,,,,00d891db3117c020bf1d8ac8aacda4825f46fbd4c9b717316cfac8afe0a258f1
primary-groth16-d10,groth16,10,15,verify_proof_call,call,G16-d10-p1,1,192,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,,,,,,292,,,,,,1645716acb461e34dc46552d7fcf1ce299195a2fb7a62c0f326075b320757911
primary-groth16-d10,groth16,10,16,verify_proof_call,call,G16-d10-p2,2,320,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,,,,,,292,,,,,,e00ac1cfc3d9e1435a403ff835d63c223b00433689af0910e239c682d3a7c8f8
primary-groth16-d10,groth16,10,17,verify_proof_call,call,G16-d10-p3,3,448,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,,,,,,292,,,,,,e7a5fd90f11e6ab2780a4dabf33001319f7a90c8d20183a4917b7eefcdbb1748
primary-groth16-d10,groth16,10,18,verify_proof_call,call,G16-d10-p4,4,576,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,,,,,,292,,,,,,ace199a0b5c2c1cefa420c81e73edf52324e609d35cd66d6a65d4f9f79ba1fad
primary-groth16-d10,groth16,10,19,verify_proof_call,call,G16-d10-p5,5,704,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,,,,,,292,,,,,,4a4794dfc8fef58b0fa2776498d96153debbfcd07a1dceed3096b1534282d86c
primary-groth16-d10,groth16,10,20,verify_proof_call,call,G16-d10-p6,6,832,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,,,,,,292,,,,,,f677a7107864d1b718341fa515ba5b5003e4860493038c0b7134ba336df114c8
primary-groth16-d10,groth16,10,21,verify_proof_call,call,G16-d10-p7,7,960,A0,Groth16LegacyVerifierDepth10,,call,call,,,true,true,1,,,,,,,292,,,,,,82da605af1171262045712508f8f854cbccb163c2f904ab03c660d7bb743329e
primary-groth16-d10,groth16,10,22,verify_proof_direct,tx,G16-d10-p0,0,64,A0,Groth16LegacyVerifierDepth10,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,00d891db3117c020bf1d8ac8aacda4825f46fbd4c9b717316cfac8afe0a258f1
primary-groth16-d10,groth16,10,23,verify_proof_direct,tx,G16-d10-p1,1,192,A0,Groth16LegacyVerifierDepth10,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,1645716acb461e34dc46552d7fcf1ce299195a2fb7a62c0f326075b320757911
primary-groth16-d10,groth16,10,24,verify_proof_direct,tx,G16-d10-p2,2,320,A0,Groth16LegacyVerifierDepth10,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,e00ac1cfc3d9e1435a403ff835d63c223b00433689af0910e239c682d3a7c8f8
primary-groth16-d10,groth16,10,25,verify_proof_direct,tx,G16-d10-p3,3,448,A0,Groth16LegacyVerifierDepth10,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,e7a5fd90f11e6ab2780a4dabf33001319f7a90c8d20183a4917b7eefcdbb1748
primary-groth16-d10,groth16,10,26,verify_proof_direct,tx,G16-d10-p4,4,576,A0,Groth16LegacyVerifierDepth10,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,ace199a0b5c2c1cefa420c81e73edf52324e609d35cd66d6a65d4f9f79ba1fad
primary-groth16-d10,groth16,10,27,verify_proof_direct,tx,G16-d10-p5,5,704,A0,Groth16LegacyVerifierDepth10,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,4a4794dfc8fef58b0fa2776498d96153debbfcd07a1dceed3096b1534282d86c
primary-groth16-d10,groth16,10,28,verify_proof_direct,tx,G16-d10-p6,6,832,A0,Groth16LegacyVerifierDepth10,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,f677a7107864d1b718341fa515ba5b5003e4860493038c0b7134ba336df114c8
primary-groth16-d10,groth16,10,29,verify_proof_direct,tx,G16-d10-p7,7,960,A0,Groth16LegacyVerifierDepth10,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,82da605af1171262045712508f8f854cbccb163c2f904ab03c660d7bb743329e
primary-groth16-d10,groth16,10,30,neg_unknown_root,tx,G16-d11-p0,0,128,A0,CredentialManagerGroth16,10000000,0,0,Invalid root,Invalid root,,,1,118680,18,1512,84,120185,120185,292,437,0,,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc
primary-groth16-d10,groth16,10,31,neg_tampered_call,call,G16-d10-p0,0,64,A0,Groth16LegacyVerifierDepth10,,call,call,,,false,false,1,,,,,,,292,,,,,,e94c445b8904355f9a108a30593cd3990c855d14f3613162e80cb327e2be1c56
primary-groth16-d10,groth16,10,32,neg_tampered,tx,G16-d10-p0,0,64,A0,CredentialManagerGroth16,10000000,0,0,Invalid proof,Invalid proof,,,1,451051,18,1512,84,452556,452556,292,437,0,,,,0359f7f970a67b3f2d4109b3cbc4922d22b87ea1de3a05061910dd18526af2b3
primary-groth16-d10,groth16,10,33,neg_cross_depth_setup,tx,G16-d11-p0,0,128,A0,CredentialManagerGroth16,2000000,1,1,,,,,1,124797,51,4284,84,129062,129062,36,178,0,,,,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758
primary-groth16-d10,groth16,10,34,neg_cross_depth_call,call,G16-d11-p0,0,128,A0,Groth16LegacyVerifierDepth10,,call,call,,,false,false,1,,,,,,,292,,,,,,5bc6f0de4752c6450808a69e77e384f62a63422d6390520d86938db713353393
primary-groth16-d10,groth16,10,35,neg_cross_depth,tx,G16-d11-p0,0,128,A0,CredentialManagerGroth16,10000000,0,0,Invalid proof,Invalid proof,,,1,451089,18,1512,84,452594,452594,292,437,0,,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc
primary-groth16-d10,groth16,10,36,neg_non_issuer,tx,G16-d10-p0,0,64,A1,CredentialManagerGroth16,2000000,0,0,CredentialManager: not issuer,CredentialManager: not issuer,,,1,118599,45,3780,84,122362,122362,36,178,0,,,,c70e0fc0dcce1b144b1b3352307a21f93a93f2fce4e70bc9dec9627a6e721205
primary-groth16-d11,groth16,11,1,deploy_verifier,tx,,,,A0,Groth16LegacyVerifierDepth11,20000000,1,1,,,,,1,487466,3371,283164,84,769405,769405,132,3322,1,3040,0x0100005f89c4cefae9b82d938e5f49479fd773521ddfd615284396aa1bbb65c1,1,44902f4c5418adc4f6045353bef005634115a381bd55c4251a7ee58b10447d67
primary-groth16-d11,groth16,11,2,deploy_manager,tx,,,,A0,CredentialManagerGroth16,20000000,1,1,,,,,1,730737,5389,452676,84,1181454,1181454,164,7066,1,6752,0x010000d37155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,1,a7a9ebb5b6128cae73685632e104199605917f6da6298e585bd96b4abfb483a3
primary-groth16-d11,groth16,11,3,set_issuer,tx,,,,A0,CredentialManagerGroth16,2000000,1,1,,,,,1,124477,51,4284,84,128742,128742,68,211,0,,,,727fd06686258f939093f54b4f3c375b0f3052da4ba7867e73d6f93a90702a06
primary-groth16-d11,groth16,11,4,add_root,tx,,,,A0,CredentialManagerGroth16,2000000,1,1,,,,,1,124797,51,4284,84,129062,129062,36,178,0,,,,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758
primary-groth16-d11,groth16,11,5,precheck_call,call,G16-d11-p0,0,128,A0,CredentialManagerGroth16,,call,call,,,true,true,1,,,,,,,292,,,,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc
primary-groth16-d11,groth16,11,6,verify_credential,tx,G16-d11-p0,0,128,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc
primary-groth16-d11,groth16,11,7,verify_credential,tx,G16-d11-p1,1,384,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,639c80471b559309e712f4c4ac80bdbc80d6df2460bd4c3bf55546677a3942c6
primary-groth16-d11,groth16,11,8,verify_credential,tx,G16-d11-p2,2,640,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,a0d019788870875208b17503c52382242ecc7ef389c425030689cc5878f2facd
primary-groth16-d11,groth16,11,9,verify_credential,tx,G16-d11-p3,3,896,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,44d222ad348d08cbb4c15c476f3f9e766c7b457489111eea40cf8035a9d57bfc
primary-groth16-d11,groth16,11,10,verify_credential,tx,G16-d11-p4,4,1152,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,64ac10112def869faad27edcff3a1f184b4d69c408dd4ef9ba2791e00fbf2f70
primary-groth16-d11,groth16,11,11,verify_credential,tx,G16-d11-p5,5,1408,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,0848907a05b5de2619814ca98c726689da9e07fb5de876c5f73602f5aecac8d5
primary-groth16-d11,groth16,11,12,verify_credential,tx,G16-d11-p6,6,1664,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,0b038845691778d5ecf554fbad7edc36d34019f4458610826c0f782c2979d705
primary-groth16-d11,groth16,11,13,verify_credential,tx,G16-d11-p7,7,1920,A0,CredentialManagerGroth16,10000000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,292,437,0,,,,d12dd5a363059bb0a0018565ad35b45baaed224644c5e64c88f49a6eccf031c3
primary-groth16-d11,groth16,11,14,verify_proof_call,call,G16-d11-p0,0,128,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,,,,,,292,,,,,,5bc6f0de4752c6450808a69e77e384f62a63422d6390520d86938db713353393
primary-groth16-d11,groth16,11,15,verify_proof_call,call,G16-d11-p1,1,384,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,,,,,,292,,,,,,efa885aac2e9479c43fe12f6847995b17d8af96513378cc2c1d26e9d055da7b6
primary-groth16-d11,groth16,11,16,verify_proof_call,call,G16-d11-p2,2,640,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,,,,,,292,,,,,,1c147d59cc572d343a1e8e2aa749baf09252f70a647b83a025998f089baf4314
primary-groth16-d11,groth16,11,17,verify_proof_call,call,G16-d11-p3,3,896,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,,,,,,292,,,,,,2fbdfdd45ebdc64fe7acb287054cddc5aaf6fe7ea8c957460799f49e7a023e66
primary-groth16-d11,groth16,11,18,verify_proof_call,call,G16-d11-p4,4,1152,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,,,,,,292,,,,,,8ee79a385961861f0584a8cc07e1ac2143ddddfb5aff9524d32bd25fa77eee7e
primary-groth16-d11,groth16,11,19,verify_proof_call,call,G16-d11-p5,5,1408,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,,,,,,292,,,,,,13313b6af35602ffa5ef1ea582e8157c92d0fa235c2451b2d167238a0d99b0db
primary-groth16-d11,groth16,11,20,verify_proof_call,call,G16-d11-p6,6,1664,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,,,,,,292,,,,,,97dcf0752aff5768c43511010524f8845e4a9b3d98d7209cb75d830bb8e5a8ec
primary-groth16-d11,groth16,11,21,verify_proof_call,call,G16-d11-p7,7,1920,A0,Groth16LegacyVerifierDepth11,,call,call,,,true,true,1,,,,,,,292,,,,,,72eebe6c87a27b1c9fd074143c7d39950e530a76e30b35c9a17507790d335537
primary-groth16-d11,groth16,11,22,verify_proof_direct,tx,G16-d11-p0,0,128,A0,Groth16LegacyVerifierDepth11,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,5bc6f0de4752c6450808a69e77e384f62a63422d6390520d86938db713353393
primary-groth16-d11,groth16,11,23,verify_proof_direct,tx,G16-d11-p1,1,384,A0,Groth16LegacyVerifierDepth11,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,efa885aac2e9479c43fe12f6847995b17d8af96513378cc2c1d26e9d055da7b6
primary-groth16-d11,groth16,11,24,verify_proof_direct,tx,G16-d11-p2,2,640,A0,Groth16LegacyVerifierDepth11,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,1c147d59cc572d343a1e8e2aa749baf09252f70a647b83a025998f089baf4314
primary-groth16-d11,groth16,11,25,verify_proof_direct,tx,G16-d11-p3,3,896,A0,Groth16LegacyVerifierDepth11,10000000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,292,437,0,,,,2fbdfdd45ebdc64fe7acb287054cddc5aaf6fe7ea8c957460799f49e7a023e66
