backend,stage,role,depth,ratio,rounds,n,median,min,max,values,definition
groth16,witness_ms,stage,5,S4_cpu2_over_cpu4,1-5,5,1.57122,1.40421,1.74742,r1=1.70772;r2=1.52259;r3=1.74742;r4=1.57122;r5=1.40421,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,6,S4_cpu2_over_cpu4,1-5,5,1.61926,1.36685,1.77637,r1=1.61926;r2=1.77637;r3=1.36685;r4=1.57693;r5=1.70706,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,7,S4_cpu2_over_cpu4,1-5,5,1.62413,1.30032,1.95495,r1=1.30032;r2=1.95495;r3=1.62413;r4=1.43815;r5=1.7807,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,8,S4_cpu2_over_cpu4,1-5,5,1.5066,1.36863,1.87506,r1=1.51163;r2=1.5066;r3=1.87506;r4=1.36863;r5=1.38963,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,9,S4_cpu2_over_cpu4,1-5,5,1.61632,1.37995,2.00215,r1=1.63047;r2=1.37995;r3=1.61632;r4=2.00215;r5=1.58116,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,10,S4_cpu2_over_cpu4,1-5,5,1.47737,1.39503,1.78053,r1=1.78053;r2=1.39503;r3=1.45915;r4=1.47737;r5=1.59274,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,11,S4_cpu2_over_cpu4,1-5,5,1.81583,1.51765,1.91738,r1=1.777;r2=1.90509;r3=1.81583;r4=1.91738;r5=1.51765,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,12,S4_cpu2_over_cpu4,1-5,5,1.56126,1.28792,1.89449,r1=1.89449;r2=1.54391;r3=1.28792;r4=1.56126;r5=1.58965,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,13,S4_cpu2_over_cpu4,1-5,5,1.73086,1.45309,1.85035,r1=1.75583;r2=1.73086;r3=1.54625;r4=1.45309;r5=1.85035,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,14,S4_cpu2_over_cpu4,1-5,5,1.58014,1.48606,1.70092,r1=1.48606;r2=1.54658;r3=1.66557;r4=1.58014;r5=1.70092,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,15,S4_cpu2_over_cpu4,1-5,5,1.40485,1.14994,1.50893,r1=1.44577;r2=1.50893;r3=1.37605;r4=1.14994;r5=1.40485,T_r(cpu2)/T_r(cpu4)
groth16,witness_ms,stage,all,S4_cpu2_over_cpu4,1-5,11,1.58014,1.40485,1.81583,d5=1.57122;d6=1.61926;d7=1.62413;d8=1.5066;d9=1.61632;d10=1.47737;d11=1.81583;d12=1.56126;d13=1.73086;d14=1.58014;d15=1.40485,median and min-max over depths of the per-depth median (Figure 5)
groth16,witness_ms,stage,5,S8_cpu2_over_cpu8,1-5,5,1.66871,1.43496,2.17435,r1=1.79448;r2=1.43496;r3=2.17435;r4=1.44884;r5=1.66871,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,6,S8_cpu2_over_cpu8,1-5,5,1.75821,1.47001,1.88271,r1=1.54166;r2=1.82832;r3=1.47001;r4=1.75821;r5=1.88271,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,7,S8_cpu2_over_cpu8,1-5,5,1.74327,1.58956,2.33293,r1=1.69744;r2=2.33293;r3=1.74327;r4=1.58956;r5=1.78875,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,8,S8_cpu2_over_cpu8,1-5,5,1.6994,1.61763,2.01199,r1=1.61763;r2=1.8659;r3=2.01199;r4=1.6994;r5=1.66774,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,9,S8_cpu2_over_cpu8,1-5,5,1.86384,1.57073,2.07191,r1=1.86384;r2=1.57073;r3=2.01651;r4=2.07191;r5=1.66717,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,10,S8_cpu2_over_cpu8,1-5,5,1.60541,1.4638,1.92397,r1=1.92397;r2=1.57218;r3=1.60541;r4=1.4638;r5=1.76544,T_r(cpu2)/T_r(cpu8)
groth16,witness_ms,stage,11,S8_cpu2_over_cpu8,1-5,5,1.80366,1.74338,2.19889,r1=1.80366;r2=2.04823;r3=1.74338;r4=2.19889;r5=1.7539,T_r(cpu2)/T_r(cpu8)
