profile_id,metric,depth,quantity,rounds,n,median,min,max,values,definition
cpu8,prove_ms,8,plonk_over_groth16,1-5,5,67.7015,66.7356,69.4255,r1=67.4415;r2=67.7015;r3=66.7356;r4=68.4357;r5=69.4255,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,9,plonk_over_groth16,1-5,5,65.3304,64.0602,66.9309,r1=65.3304;r2=66.1073;r3=64.0602;r4=64.3762;r5=66.9309,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,10,plonk_over_groth16,1-5,5,62.2349,59.9807,62.6893,r1=62.4602;r2=62.6893;r3=59.9807;r4=61.4794;r5=62.2349,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,11,plonk_over_groth16,1-5,5,116.231,114.819,118.501,r1=114.819;r2=118.501;r3=114.986;r4=116.231;r5=117.848,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,12,plonk_over_groth16,1-5,5,109.882,108.133,111.065,r1=109.882;r2=111.065;r3=108.705;r4=108.133;r5=111.021,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,13,plonk_over_groth16,1-5,5,103.981,103.706,105.344,r1=103.981;r2=104.86;r3=105.344;r4=103.706;r5=103.86,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,14,plonk_over_groth16,1-5,5,101.386,98.9707,102.293,r1=101.386;r2=102.293;r3=98.9707;r4=99.983;r5=102.14,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,15,plonk_over_groth16,1-5,5,98.5797,93.4842,100.631,r1=98.99;r2=98.5797;r3=96.7266;r4=93.4842;r5=100.631,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,all,range_of_depth_medians,1-5,11,91.7925,62.2349,116.231,d5=91.7925;d6=87.5605;d7=80.0609;d8=67.7015;d9=65.3304;d10=62.2349;d11=116.231;d12=109.882;d13=103.981;d14=101.386;d15=98.5797,min and max over depths of the per-depth median ratio (median shown for reference)
cpu8,wall_ms,5,plonk_over_groth16,1-5,5,74.6283,73.3769,78.0585,r1=77.2605;r2=74.6283;r3=78.0585;r4=73.3769;r5=74.6197,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,6,plonk_over_groth16,1-5,5,73.4465,71.7335,74.5038,r1=73.0879;r2=74.5038;r3=73.4465;r4=71.7335;r5=73.9579,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,7,plonk_over_groth16,1-5,5,68.8963,65.3343,70.111,r1=68.8963;r2=69.2522;r3=67.231;r4=65.3343;r5=70.111,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,8,plonk_over_groth16,1-5,5,58.63,57.2166,60.4013,r1=57.2166;r2=57.6178;r3=58.63;r4=59.6045;r5=60.4013,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,9,plonk_over_groth16,1-5,5,57.2837,56.0314,58.2791,r1=57.2837;r2=57.6557;r3=56.5762;r4=56.0314;r5=58.2791,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,10,plonk_over_groth16,1-5,5,54.1433,52.5472,54.9266,r1=54.6928;r2=54.9266;r3=52.5472;r4=53.549;r5=54.1433,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,11,plonk_over_groth16,1-5,5,99.8536,97.6968,102.218,r1=98.8072;r2=102.218;r3=97.6968;r4=99.8536;r5=101.657,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,12,plonk_over_groth16,1-5,5,93.1516,88.64,95.1789,r1=90.656;r2=95.1789;r3=93.1516;r4=88.64;r5=94.6922,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,13,plonk_over_groth16,1-5,5,80.7425,79.5472,82.1203,r1=79.9165;r2=80.7425;r3=82.1203;r4=82.0461;r5=79.5472,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,14,plonk_over_groth16,1-5,5,75.0517,69.3517,75.3617,r1=75.3617;r2=75.15;r3=69.3517;r4=70.5957;r5=75.0517,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,15,plonk_over_groth16,1-5,5,57.349,53.2834,59.4983,r1=59.2087;r2=56.8025;r3=57.349;r4=53.2834;r5=59.4983,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu8,wall_ms,all,range_of_depth_medians,1-5,11,73.4465,54.1433,99.8536,d5=74.6283;d6=73.4465;d7=68.8963;d8=58.63;d9=57.2837;d10=54.1433;d11=99.8536;d12=93.1516;d13=80.7425;d14=75.0517;d15=57.349,min and max over depths of the per-depth median ratio (median shown for reference)
