profile_id,backend,depth,stage,role,rounds,n,median,q1,q3,iqr,min,max
cpu2,groth16,5,verify_first_ms,stage,1-10,10,11.8895,10.2918,13.812,3.52025,9.759,17.979
cpu2,groth16,5,verify_steady_ms,stage,1-10,10,11.017,10.1465,11.4083,1.26175,9.649,12.505
cpu2,groth16,5,wall_ms,total,1-10,10,303.062,291.065,309.463,18.3983,271.121,315.048
cpu2,groth16,5,stage_sum_ms,diagnostic,1-10,10,303.046,291.036,309.439,18.404,271.101,315.03
cpu2,groth16,6,input_ms,stage,1-10,10,0.822,0.77325,1.394,0.62075,0.673,1.845
cpu2,groth16,6,witness_ms,stage,1-10,10,22.898,22.5055,23.949,1.4435,19.535,25.908
cpu2,groth16,6,prove_ms,stage,1-10,10,286.106,278.692,295.296,16.6047,241.397,299.423
cpu2,groth16,6,verify_first_ms,stage,1-10,10,12.459,10.9592,12.7037,1.7445,9.936,16.464
cpu2,groth16,6,verify_steady_ms,stage,1-10,10,10.6415,10.1852,11.0095,0.82425,9.607,13.427
cpu2,groth16,6,wall_ms,total,1-10,10,323.008,313.71,329.925,16.2145,281.572,334.5
cpu2,groth16,6,stage_sum_ms,diagnostic,1-10,10,322.995,313.695,329.907,16.2115,281.553,334.482
cpu2,groth16,7,input_ms,stage,1-10,10,0.87,0.85825,0.92975,0.0715,0.758,1.667
cpu2,groth16,7,witness_ms,stage,1-10,10,23.6955,22.253,25.7312,3.47825,21.643,28.681
cpu2,groth16,7,prove_ms,stage,1-10,10,294.82,293.506,302.064,8.558,269.96,343.581
cpu2,groth16,7,verify_first_ms,stage,1-10,10,11.6825,10.025,13.0025,2.9775,9.667,16.736
cpu2,groth16,7,verify_steady_ms,stage,1-10,10,10.731,10.2237,11.6605,1.43675,9.785,12.237
cpu2,groth16,7,wall_ms,total,1-10,10,333.115,328.174,339.037,10.8635,309.652,379.254
cpu2,groth16,7,stage_sum_ms,diagnostic,1-10,10,333.1,328.159,339.022,10.8625,309.636,379.234
cpu2,groth16,8,input_ms,stage,1-10,10,1.2565,1.14025,1.8945,0.75425,1.005,2.1
cpu2,groth16,8,witness_ms,stage,1-10,10,23.7065,23.1755,24.5785,1.403,20.463,25.679
cpu2,groth16,8,prove_ms,stage,1-10,10,339.263,327.615,347.5,19.8845,314.891,353.993
cpu2,groth16,8,verify_first_ms,stage,1-10,10,11.189,10.682,12.325,1.643,9.78,15.014
cpu2,groth16,8,verify_steady_ms,stage,1-10,10,11.1525,10.7538,11.5403,0.7865,10.432,12.137
cpu2,groth16,8,wall_ms,total,1-10,10,376.321,363.331,384.549,21.218,351.787,391.022
cpu2,groth16,8,stage_sum_ms,diagnostic,1-10,10,376.303,363.316,384.527,21.2108,351.771,391.001
cpu2,groth16,9,input_ms,stage,1-10,10,1.8295,1.7705,1.96925,0.19875,1.745,5.121
cpu2,groth16,9,witness_ms,stage,1-10,10,24.449,23.2505,26.988,3.7375,22.053,28.899
cpu2,groth16,9,prove_ms,stage,1-10,10,359.062,347.64,368.868,21.228,340.759,380.506
cpu2,groth16,9,verify_first_ms,stage,1-10,10,11.058,10.5077,12.7327,2.225,10.111,16.936
cpu2,groth16,9,verify_steady_ms,stage,1-10,10,10.344,9.888,11.3382,1.45025,9.569,12.318
cpu2,groth16,9,wall_ms,total,1-10,10,397.34,389.351,411.647,22.2962,377.517,420.361
cpu2,groth16,9,stage_sum_ms,diagnostic,1-10,10,397.318,389.336,411.63,22.2945,377.499,420.346
cpu2,groth16,10,input_ms,stage,1-10,10,2.8035,2.66625,3.023,0.35675,2.594,3.459
cpu2,groth16,10,witness_ms,stage,1-10,10,24.8135,22.3603,26.5343,4.174,21.351,30.308
cpu2,groth16,10,prove_ms,stage,1-10,10,380.753,373.515,391.854,18.3392,353.367,398.882
cpu2,groth16,10,verify_first_ms,stage,1-10,10,11.168,10.827,11.8733,1.04625,9.812,21.82
cpu2,groth16,10,verify_steady_ms,stage,1-10,10,10.7375,10.1532,11.7027,1.5495,9.991,12.214
cpu2,groth16,10,wall_ms,total,1-10,10,419.92,410.184,433.115,22.931,391.486,441.097
cpu2,groth16,10,stage_sum_ms,diagnostic,1-10,10,419.904,410.165,433.091,22.926,391.467,441.081
cpu2,groth16,11,input_ms,stage,1-10,10,6.437,5.78475,7.1615,1.37675,5.535,7.681
cpu2,groth16,11,witness_ms,stage,1-10,10,27.123,24.9785,28.5087,3.53025,24.248,30.73
cpu2,groth16,11,prove_ms,stage,1-10,10,387.769,378.534,405.873,27.339,360.047,429.876
cpu2,groth16,11,verify_first_ms,stage,1-10,10,11.087,10.688,11.6297,0.94175,10.38,12.682
cpu2,groth16,11,verify_steady_ms,stage,1-10,10,10.353,9.95125,10.8955,0.94425,9.408,12.718
cpu2,groth16,11,wall_ms,total,1-10,10,432.384,422.1,447.537,25.4373,407.857,476.987
cpu2,groth16,11,stage_sum_ms,diagnostic,1-10,10,432.365,422.082,447.517,25.4352,407.836,476.966
cpu2,groth16,12,input_ms,stage,1-10,10,16.1375,10.1785,16.832,6.6535,8.907,18.652
cpu2,groth16,12,witness_ms,stage,1-10,10,26.814,25.261,28.2485,2.9875,22.84,31.883
cpu2,groth16,12,prove_ms,stage,1-10,10,417.636,414.133,419.422,5.289,398.655,429.451
cpu2,groth16,12,verify_first_ms,stage,1-10,10,10.9135,10.3223,11.9462,1.624,9.973,12.811
cpu2,groth16,12,verify_steady_ms,stage,1-10,10,10.725,10.039,10.978,0.939,9.875,12.673
cpu2,groth16,12,wall_ms,total,1-10,10,470.641,463.623,472.073,8.44975,445.272,487.083
cpu2,groth16,12,stage_sum_ms,diagnostic,1-10,10,470.62,463.602,472.053,8.4515,445.241,487.056
cpu2,groth16,13,input_ms,stage,1-10,10,31.0885,27.533,31.5902,4.05725,24.827,33.549
cpu2,groth16,13,witness_ms,stage,1-10,10,30.775,29.8075,32.6328,2.82525,28.08,38.354
cpu2,groth16,13,prove_ms,stage,1-10,10,441.95,425.334,454.242,28.9083,407.386,472.125
cpu2,groth16,13,verify_first_ms,stage,1-10,10,11.679,10.5035,12.7413,2.23775,9.563,21.388
cpu2,groth16,13,verify_steady_ms,stage,1-10,10,10.5085,10.4247,10.8332,0.4085,10.108,11.615
cpu2,groth16,13,wall_ms,total,1-10,10,515.151,497.368,527.68,30.313,479.495,546.012
cpu2,groth16,13,stage_sum_ms,diagnostic,1-10,10,515.124,497.34,527.646,30.3065,479.467,545.989
cpu2,groth16,14,input_ms,stage,1-10,10,55.9765,50.5813,58.4925,7.91125,46.333,59.236
cpu2,groth16,14,witness_ms,stage,1-10,10,29.8555,28.2447,30.4083,2.1635,25.99,38.871
cpu2,groth16,14,prove_ms,stage,1-10,10,455.54,441.73,468.251,26.5208,433.028,486.352
cpu2,groth16,14,verify_first_ms,stage,1-10,10,10.9735,10.0125,12.603,2.5905,9.814,14.361
cpu2,groth16,14,verify_steady_ms,stage,1-10,10,10.5875,10.0525,10.9965,0.944,9.797,12.631
cpu2,groth16,14,wall_ms,total,1-10,10,548.766,540.912,561.561,20.6485,528.615,588.13
cpu2,groth16,14,stage_sum_ms,diagnostic,1-10,10,548.742,540.89,561.537,20.6463,528.593,588.102
cpu2,groth16,15,input_ms,stage,1-10,10,120.722,118.299,124.059,5.76,100.964,126.812
cpu2,groth16,15,witness_ms,stage,1-10,10,29.8945,28.6913,35.6505,6.95925,27.148,38.882
cpu2,groth16,15,prove_ms,stage,1-10,10,485.759,471.02,490.06,19.0398,444.303,504.173
cpu2,groth16,15,verify_first_ms,stage,1-10,10,12.6725,11.0642,13.5885,2.52425,10.044,19.236
cpu2,groth16,15,verify_steady_ms,stage,1-10,10,11.0095,10.3455,12.3135,1.968,9.828,12.698
cpu2,groth16,15,wall_ms,total,1-10,10,651.424,628.791,658.573,29.7818,605.72,667.636
cpu2,groth16,15,stage_sum_ms,diagnostic,1-10,10,651.394,628.764,658.546,29.7815,605.69,667.609
cpu2,groth16,5,input_ms,stage,6-10,5,0.783,0.698,0.792,0.094,0.606,1.465
cpu2,groth16,5,witness_ms,stage,6-10,5,21.65,21.557,25.488,3.931,21.282,27.041
cpu2,groth16,5,prove_ms,stage,6-10,5,270.863,269.317,271.877,2.56,263.482,281.181
cpu2,groth16,5,verify_first_ms,stage,6-10,5,11.228,10.432,12.551,2.119,10.245,14.091
cpu2,groth16,5,verify_steady_ms,stage,6-10,5,11.191,10.1,11.454,1.354,10.051,12.392
cpu2,groth16,5,wall_ms,total,6-10,5,305.698,304.363,310.718,6.355,301.762,314.194
cpu2,groth16,5,stage_sum_ms,diagnostic,6-10,5,305.664,304.346,310.698,6.352,301.746,314.173
cpu2,groth16,6,input_ms,stage,6-10,5,1.415,0.765,1.446,0.681,0.673,1.845
cpu2,groth16,6,witness_ms,stage,6-10,5,22.651,22.457,22.924,0.467,22.152,24.154
cpu2,groth16,6,prove_ms,stage,6-10,5,285.184,281.213,287.029,5.816,277.157,297.232
cpu2,groth16,6,verify_first_ms,stage,6-10,5,12.493,12.425,12.553,0.128,10.482,12.754
cpu2,groth16,6,verify_steady_ms,stage,6-10,5,10.57,10.057,10.668,0.611,9.607,10.999
cpu2,groth16,6,wall_ms,total,6-10,5,322.576,316.57,323.439,6.869,311.994,334.5
cpu2,groth16,6,stage_sum_ms,diagnostic,6-10,5,322.564,316.555,323.425,6.87,311.978,334.482
cpu2,groth16,7,input_ms,stage,6-10,5,0.926,0.878,0.991,0.113,0.862,1.667
cpu2,groth16,7,witness_ms,stage,6-10,5,22.766,21.768,25.869,4.101,21.643,26.439
cpu2,groth16,7,prove_ms,stage,6-10,5,299.192,295.378,303.021,7.643,293.886,343.581
cpu2,groth16,7,verify_first_ms,stage,6-10,5,10.96,9.98,13.024,3.044,9.667,13.691
cpu2,groth16,7,verify_steady_ms,stage,6-10,5,10.855,10.222,10.894,0.672,10.016,11.916
cpu2,groth16,7,wall_ms,total,6-10,5,335.945,333.621,340.068,6.447,327.38,379.254
cpu2,groth16,7,stage_sum_ms,diagnostic,6-10,5,335.929,333.605,340.053,6.448,327.366,379.234
cpu2,groth16,8,input_ms,stage,6-10,5,2.069,1.334,2.097,0.763,1.063,2.1
cpu2,groth16,8,witness_ms,stage,6-10,5,23.817,23.596,24.232,0.636,22.905,24.694
cpu2,groth16,8,prove_ms,stage,6-10,5,339.364,335.329,343.398,8.069,319.017,348.867
cpu2,groth16,8,verify_first_ms,stage,6-10,5,10.64,10.182,10.916,0.734,9.78,11.462
cpu2,groth16,8,verify_steady_ms,stage,6-10,5,10.987,10.676,11.559,0.883,10.478,12.137
cpu2,groth16,8,wall_ms,total,6-10,5,374.44,372.287,378.201,5.914,355.371,386.653
cpu2,groth16,8,stage_sum_ms,diagnostic,6-10,5,374.426,372.272,378.181,5.909,355.353,386.629
cpu2,groth16,9,input_ms,stage,6-10,5,1.793,1.761,1.835,0.074,1.745,2.534
cpu2,groth16,9,witness_ms,stage,6-10,5,24.56,23.195,27.598,4.403,23.038,28.24
cpu2,groth16,9,prove_ms,stage,6-10,5,360.597,357.528,361.413,3.885,353.334,379.366
cpu2,groth16,9,verify_first_ms,stage,6-10,5,11.04,10.888,11.076,0.188,10.111,15.642
cpu2,groth16,9,verify_steady_ms,stage,6-10,5,11.147,10.064,11.402,1.338,9.85,12.318
cpu2,groth16,9,wall_ms,total,6-10,5,397.988,396.692,401.662,4.97,393.495,417.55
cpu2,groth16,9,stage_sum_ms,diagnostic,6-10,5,397.969,396.667,401.644,4.977,393.478,417.535
cpu2,groth16,10,input_ms,stage,6-10,5,2.682,2.649,3.055,0.406,2.594,3.459
cpu2,groth16,10,witness_ms,stage,6-10,5,25.913,23.714,26.598,2.884,23.372,30.308
