profile_id,backend,depth,quantity,rounds,n,median,min,max,values,definition
cpu4,groth16,15,path_prove_ms,1-5,5,264.846,254.091,283.985,dr1=262.847;dr2=264.846;dr3=254.091;dr4=265.44;dr5=283.985,prove_ms of the path call
cpu4,groth16,15,mem_prove_ms,1-5,5,261.792,250.868,462.324,dr1=262.81;dr2=258.822;dr3=250.868;dr4=261.792;dr5=462.324,prove_ms of the mem call
cpu4,groth16,15,paired_diff_path_minus_mem_ms,1-5,5,3.223,-178.339,6.024,dr1=0.037;dr2=6.024;dr3=3.223;dr4=3.648;dr5=-178.339,"path - mem, same diagnostic round"
cpu4,groth16,15,paired_ratio_mem_over_path,1-5,5,0.987316,0.977255,1.62799,dr1=0.999859;dr2=0.977255;dr3=0.987316;dr4=0.986257;dr5=1.62799,"mem / path, same diagnostic round"
cpu4,groth16,15,zkey_readfile_ms,1-5,5,1.282,1.202,1.557,dr1=1.235;dr2=1.202;dr3=1.282;dr4=1.557;dr5=1.437,fs.readFileSync(zkey) before the mem call
cpu4,plonk,5,path_prove_ms,1-5,5,10312.4,10030.7,10437.7,dr1=10437.7;dr2=10216.9;dr3=10312.4;dr4=10030.7;dr5=10383.6,prove_ms of the path call
cpu4,plonk,5,mem_prove_ms,1-5,5,10079.8,10029.9,10281.9,dr1=10281.9;dr2=10049.2;dr3=10079.8;dr4=10029.9;dr5=10276.8,prove_ms of the mem call
cpu4,plonk,5,paired_diff_path_minus_mem_ms,1-5,5,155.785,0.763,232.608,dr1=155.785;dr2=167.721;dr3=232.608;dr4=0.763;dr5=106.768,"path - mem, same diagnostic round"
cpu4,plonk,5,paired_ratio_mem_over_path,1-5,5,0.985075,0.977444,0.999924,dr1=0.985075;dr2=0.983584;dr3=0.977444;dr4=0.999924;dr5=0.989718,"mem / path, same diagnostic round"
cpu4,plonk,5,zkey_readfile_ms,1-5,5,17.789,17.563,19.547,dr1=17.789;dr2=19.547;dr3=17.611;dr4=18.477;dr5=17.563,fs.readFileSync(zkey) before the mem call
cpu4,plonk,10,path_prove_ms,1-5,5,10262,10110.2,11407.9,dr1=10262;dr2=10207.9;dr3=11407.9;dr4=10110.2;dr5=10627.1,prove_ms of the path call
cpu4,plonk,10,mem_prove_ms,1-5,5,10195.1,10140.7,11397.8,dr1=10186.5;dr2=10195.1;dr3=11397.8;dr4=10140.7;dr5=10410.2,prove_ms of the mem call
cpu4,plonk,10,paired_diff_path_minus_mem_ms,1-5,5,12.756,-30.432,216.871,dr1=75.469;dr2=12.756;dr3=10.059;dr4=-30.432;dr5=216.871,"path - mem, same diagnostic round"
cpu4,plonk,10,paired_ratio_mem_over_path,1-5,5,0.99875,0.979593,1.00301,dr1=0.992646;dr2=0.99875;dr3=0.999118;dr4=1.00301;dr5=0.979593,"mem / path, same diagnostic round"
cpu4,plonk,10,zkey_readfile_ms,1-5,5,17.61,17.342,20.365,dr1=17.342;dr2=17.485;dr3=20.166;dr4=20.365;dr5=17.61,fs.readFileSync(zkey) before the mem call
cpu4,plonk,11,path_prove_ms,1-5,5,19768.3,19686.8,22155.7,dr1=19768.3;dr2=19686.8;dr3=22155.7;dr4=19687.5;dr5=20168.5,prove_ms of the path call
cpu4,plonk,11,mem_prove_ms,1-5,5,19789.9,19278.3,20588.5,dr1=19789.9;dr2=19655.6;dr3=20588.5;dr4=19278.3;dr5=20073.8,prove_ms of the mem call
cpu4,plonk,11,paired_diff_path_minus_mem_ms,1-5,5,94.745,-21.558,1567.21,dr1=-21.558;dr2=31.17;dr3=1567.21;dr4=409.165;dr5=94.745,"path - mem, same diagnostic round"
cpu4,plonk,11,paired_ratio_mem_over_path,1-5,5,0.995302,0.929264,1.00109,dr1=1.00109;dr2=0.998417;dr3=0.929264;dr4=0.979217;dr5=0.995302,"mem / path, same diagnostic round"
cpu4,plonk,11,zkey_readfile_ms,1-5,5,36.723,35.721,38.682,dr1=38.08;dr2=35.986;dr3=38.682;dr4=35.721;dr5=36.723,fs.readFileSync(zkey) before the mem call
cpu4,plonk,15,path_prove_ms,1-5,5,19882.9,19508.6,22191.7,dr1=19882.9;dr2=19508.6;dr3=22191.7;dr4=19813.9;dr5=20167.8,prove_ms of the path call
cpu4,plonk,15,mem_prove_ms,1-5,5,19736.1,19539.9,22248.4,dr1=20012.6;dr2=19539.9;dr3=22248.4;dr4=19636;dr5=19736.1,prove_ms of the mem call
cpu4,plonk,15,paired_diff_path_minus_mem_ms,1-5,5,-31.336,-129.758,431.677,dr1=-129.758;dr2=-31.336;dr3=-56.703;dr4=177.909;dr5=431.677,"path - mem, same diagnostic round"
cpu4,plonk,15,paired_ratio_mem_over_path,1-5,5,1.00161,0.978596,1.00653,dr1=1.00653;dr2=1.00161;dr3=1.00256;dr4=0.991021;dr5=0.978596,"mem / path, same diagnostic round"
cpu4,plonk,15,zkey_readfile_ms,1-5,5,38.349,35.521,47.503,dr1=47.503;dr2=35.624;dr3=38.812;dr4=38.349;dr5=35.521,fs.readFileSync(zkey) before the mem call
cpu4,plonk,11/10,A_boundary_d11_over_d10_path,1-5,5,1.92859,1.89784,1.94728,dr1=1.92636;dr2=1.92859;dr3=1.94215;dr4=1.94728;dr5=1.89784,"prove(11)/prove(10), path calls"
cpu4,plonk,11/10,A_boundary_d11_over_d10_mem,1-5,5,1.92794,1.80636,1.94275,dr1=1.94275;dr2=1.92794;dr3=1.80636;dr4=1.90108;dr5=1.92828,"prove(11)/prove(10), mem calls"
cpu4,plonk,10/5,plateau_end_L_d10_over_d5_path,1-5,5,1.00793,0.98317,1.10623,dr1=0.98317;dr2=0.999119;dr3=1.10623;dr4=1.00793;dr5=1.02345,"prove(10)/prove(5), path calls"
cpu4,plonk,10/5,plateau_end_L_d10_over_d5_mem,1-5,5,1.01298,0.990727,1.13076,dr1=0.990727;dr2=1.01452;dr3=1.13076;dr4=1.01104;dr5=1.01298,"prove(10)/prove(5), mem calls"
cpu4,plonk,15/11,plateau_end_U_d15_over_d11_path,1-5,5,1.00162,0.990947,1.00642,dr1=1.00579;dr2=0.990947;dr3=1.00162;dr4=1.00642;dr5=0.999961,"prove(15)/prove(11), path calls"
cpu4,plonk,15/11,plateau_end_U_d15_over_d11_mem,1-5,5,1.01126,0.983177,1.08062,dr1=1.01126;dr2=0.994112;dr3=1.08062;dr4=1.01856;dr5=0.983177,"prove(15)/prove(11), mem calls"
cpu4,groth16,8/7,B_boundary_d8_over_d7_path,1-5,5,1.12392,1.11939,1.20733,dr1=1.16811;dr2=1.12392;dr3=1.11939;dr4=1.11979;dr5=1.20733,"prove(8)/prove(7), path calls"
cpu4,groth16,8/7,B_boundary_d8_over_d7_mem,1-5,5,1.10081,0.688666,1.16859,dr1=1.14853;dr2=1.06857;dr3=1.16859;dr4=1.10081;dr5=0.688666,"prove(8)/prove(7), mem calls"
cpu4,groth16,7/5,plateau_end_L_d7_over_d5_path,1-5,5,1.20406,1.1144,1.9356,dr1=1.1144;dr2=1.20406;dr3=1.20477;dr4=1.13534;dr5=1.9356,"prove(7)/prove(5), path calls"
cpu4,groth16,7/5,plateau_end_L_d7_over_d5_mem,1-5,5,1.18754,1.12512,2.56326,dr1=1.12512;dr2=1.25324;dr3=1.13259;dr4=1.18754;dr5=2.56326,"prove(7)/prove(5), mem calls"
cpu4,groth16,15/8,plateau_end_U_d15_over_d8_path,1-5,5,1.34186,0.808188,1.41968,dr1=1.34186;dr2=1.36643;dr3=1.31344;dr4=1.41968;dr5=0.808188,"prove(15)/prove(8), path calls"
