backend,profile_id,quantity,metric,rounds,n,median,min,max,values,definition
groth16,cpu8,S_plateau_medU_over_medL,prove_ms,1-10,10,1.50981,1.47751,1.5434,r1=1.52675;r2=1.50835;r3=1.51891;r4=1.50333;r5=1.50453;r6=1.47751;r7=1.50588;r8=1.5434;r9=1.51126;r10=1.51601,"median over d in {8..15} / median over d in {5,6,7}, per round"
groth16,cpu8,adjacent_d6_over_d5,prove_ms,1-10,10,1.07418,1.00167,1.11721,r1=1.05545;r2=1.07774;r3=1.07528;r4=1.05306;r5=1.00167;r6=1.11721;r7=1.03713;r8=1.07308;r9=1.08279;r10=1.07692,prove_r(6)/prove_r(5)
groth16,cpu8,adjacent_d7_over_d6,prove_ms,1-10,10,1.08878,1.05413,1.18687,r1=1.06404;r2=1.09469;r3=1.09168;r4=1.10326;r5=1.06439;r6=1.05413;r7=1.18687;r8=1.08233;r9=1.08617;r10=1.09139,prove_r(7)/prove_r(6)
groth16,cpu8,adjacent_d8_over_d7,prove_ms,1-10,10,1.17719,1.06169,1.23297,r1=1.23297;r2=1.17257;r3=1.18658;r4=1.12341;r5=1.17722;r6=1.19898;r7=1.06169;r8=1.17482;r9=1.18338;r10=1.17716,prove_r(8)/prove_r(7)
groth16,cpu8,adjacent_d9_over_d8,prove_ms,1-10,10,1.0516,1.02035,1.07002,r1=1.02035;r2=1.03669;r3=1.05991;r4=1.07002;r5=1.0551;r6=1.05134;r7=1.04405;r8=1.04412;r9=1.05766;r10=1.05186,prove_r(9)/prove_r(8)
groth16,cpu8,adjacent_d10_over_d9,prove_ms,1-10,10,1.05232,1.02582,1.08596,r1=1.05445;r2=1.06126;r3=1.05172;r4=1.04157;r5=1.07301;r6=1.03629;r7=1.08596;r8=1.05292;r9=1.02582;r10=1.03661,prove_r(10)/prove_r(9)
groth16,cpu8,adjacent_d11_over_d10,prove_ms,1-10,10,1.05205,1.02111,1.07211,r1=1.05869;r2=1.03251;r3=1.02111;r4=1.06103;r5=1.0351;r6=1.04542;r7=1.03362;r8=1.07211;r9=1.06297;r10=1.05886,prove_r(11)/prove_r(10)
groth16,cpu8,adjacent_d12_over_d11,prove_ms,1-10,10,1.05034,1.03898,1.06889,r1=1.04337;r2=1.06889;r3=1.06027;r4=1.05144;r5=1.04924;r6=1.05275;r7=1.0395;r8=1.05965;r9=1.03898;r10=1.04411,prove_r(12)/prove_r(11)
groth16,cpu8,adjacent_d13_over_d12,prove_ms,1-10,10,1.04219,1.00189,1.29622,r1=1.04615;r2=1.04438;r3=1.03792;r4=1.03721;r5=1.06168;r6=1.05628;r7=1.03284;r8=1.00189;r9=1.29622;r10=1.04001,prove_r(13)/prove_r(12)
groth16,cpu8,adjacent_d14_over_d13,prove_ms,1-10,10,1.04135,0.834522,1.06242,r1=1.03316;r2=1.04977;r3=1.05748;r4=1.04187;r5=1.04443;r6=1.02784;r7=1.06242;r8=1.03731;r9=0.834522;r10=1.04084,prove_r(14)/prove_r(13)
groth16,cpu8,adjacent_d15_over_d14,prove_ms,1-10,10,1.04448,0.994926,1.08288,r1=1.05054;r2=1.02379;r3=1.01867;r4=1.06215;r5=0.994926;r6=1.04552;r7=1.02466;r8=1.08288;r9=1.06145;r10=1.04344,prove_r(15)/prove_r(14)
groth16,cpu8,adjacent_within_L_pooled,prove_ms,1-10,20,1.07733,1.00167,1.18687,r1:d6/d5=1.05545;r2:d6/d5=1.07774;r3:d6/d5=1.07528;r4:d6/d5=1.05306;r5:d6/d5=1.00167;r6:d6/d5=1.11721;r7:d6/d5=1.03713;r8:d6/d5=1.07308;r9:d6/d5=1.08279;r10:d6/d5=1.07692;r1:d7/d6=1.06404;r2:d7/d6=1.09469;r3:d7/d6=1.09168;r4:d7/d6=1.10326;r5:d7/d6=1.06439;r6:d7/d6=1.05413;r7:d7/d6=1.18687;r8:d7/d6=1.08233;r9:d7/d6=1.08617;r10:d7/d6=1.09139,"all adjacent ratios within plateau L, pooled over pairs and rounds"
