campaign_id,session_id,profile_id,container_id,kind,run_id,round,round_attempt,order_in_round,seed,is_warmup,warmup_kind,backend,depth,leaf_index,started_at_utc,input_ms,witness_ms,prove_ms,verify_first_ms,verify_steady_ms,stage_sum_ms,wall_ms,zkey_bytes,zkey_sha256,proof_valid,root_matches,input_matches_committed,public_root,expected_root,heap_used_mb,rss_mb,image_id,manifest_sha256,status,error
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round019,0,1,19,0,1,round0,groth16,11,0,2026-09-25T06:20:28.246Z,7.106,14.959,222.778,6.253,7.073,251.097,251.118,1987127,1241508317856e8cb42cf71f43cafeb13e26a2553d595182aefca30b78a5b754,1,1,1,13741875541804146615197212471377989082753334180286662970428373142262333549779,13741875541804146615197212471377989082753334180286662970428373142262333549779,11.836,508.703,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round020,0,1,20,0,1,round0,groth16,14,0,2026-09-25T06:20:28.520Z,51.164,19.307,258.691,8.496,6.482,337.658,337.682,2348483,b0be38259edaa109196790233512dc26d29f0e31a9506021bad97c60834e4df2,1,1,1,12582151698735550891927690128793622813383487692593364506314066026947547425304,12582151698735550891927690128793622813383487692593364506314066026947547425304,10.57,508.316,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round021,0,1,21,0,1,round0,plonk,13,0,2026-09-25T06:20:28.879Z,29.32,17.639,19732.666,7.567,7.068,19787.192,19787.216,101596872,ecc4eb82a5958bf47b7b157e77ed7abc103fb2ebeec94211db85c4d20c7c607c,1,1,1,2070900789261900884480134887764693608718732168760920549200296856627754794354,2070900789261900884480134887764693608718732168760920549200296856627754794354,11.575,649.469,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round022,0,1,22,0,1,round0,plonk,6,0,2026-09-25T06:20:48.690Z,2.812,13.105,10277.941,7.733,7.176,10301.59,10301.607,50980972,75b0f7800ba9bbd996a5aba5e02258e755536462dae72897fb9805a733486612,1,1,1,4563221289370828604205089111471170542583263583412968862519466540084840336910,4563221289370828604205089111471170542583263583412968862519466540084840336910,10.957,539.461,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,56245007ba4f,primary,campaign-20260925T060607Z/cpu4/primary1a1/in_process1,1,1,1,1,1,in_process,groth16,5,0,2026-09-25T06:21:00.471Z,0.595,14.502,271.157,6.801,7.794,293.054,293.069,1133343,41c7636150900ee72cf6323930dd506bd0fc015a94a20905cc61c856b4fe919a,1,1,1,8772061116891597512098326450504850663371859585885077427179882578819842555696,8772061116891597512098326450504850663371859585885077427179882578819842555696,10.909,215.566,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,56245007ba4f,primary,campaign-20260925T060607Z/cpu4/primary1a1/in_process2,1,1,2,1,1,in_process,plonk,5,0,2026-09-25T06:21:00.791Z,0.574,16.179,10242.937,7.911,7.284,10267.601,10267.625,50790568,8b7d89ef154d0704a4a5fb8df978ea728f0decad61374b1d3a80a026ad357fec,1,1,1,8772061116891597512098326450504850663371859585885077427179882578819842555696,8772061116891597512098326450504850663371859585885077427179882578819842555696,11.525,475.324,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,56245007ba4f,primary,campaign-20260925T060607Z/cpu4/primary1a1/m1,1,1,1,1,0,,groth16,7,0,2026-09-25T06:21:11.083Z,2.927,16.982,164.982,7.52,9.86,192.411,192.426,1374247,c0f6d8c4ac9fa282780a2c229d7d086f87e26be62a3eefceb9f801e5076843aa,1,1,1,6834760395900399403843817083005722754930321299301222295483199499696193022453,6834760395900399403843817083005722754930321299301222295483199499696193022453,12.289,374.629,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,56245007ba4f,primary,campaign-20260925T060607Z/cpu4/primary1a1/m2,1,1,2,1,0,,groth16,8,0,2026-09-25T06:21:11.308Z,1.06,13.537,202.269,7.997,6.416,224.862,224.878,1625771,5ed3b83d5f5aad4ca7fa25c79bc0fa86d421d2202a7e7054079f14b9e1c2f4cd,1,1,1,4202603041571593097755192347734702907906852554209131907104891159135181794540,4202603041571593097755192347734702907906852554209131907104891159135181794540,12.134,376.844,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,56245007ba4f,primary,campaign-20260925T060607Z/cpu4/primary1a1/m3,1,1,3,1,0,,plonk,14,0,2026-09-25T06:21:11.555Z,47.145,21.111,19584.503,7.701,7.294,19660.461,19660.487,101787276,61d7365d9163bc99ded1dfbd03499b9283c2947715292debbde41b3796b6b916,1,1,1,12582151698735550891927690128793622813383487692593364506314066026947547425304,12582151698735550891927690128793622813383487692593364506314066026947547425304,10.904,522.004,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,56245007ba4f,primary,campaign-20260925T060607Z/cpu4/primary1a1/m4,1,1,4,1,0,,groth16,6,0,2026-09-25T06:21:31.240Z,0.806,14.125,156.046,7.774,7.18,178.75,178.765,1253795,ea2368c5701f4885dc1bd9120ebd0b3419c495066983d2c215030506b1968bd4,1,1,1,4563221289370828604205089111471170542583263583412968862519466540084840336910,4563221289370828604205089111471170542583263583412968862519466540084840336910,12.177,495.516,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
